Año	Mes	Dia	Hora	Min	Seg	Lat	Lon	Profundidad	Magnitud
2003	3	15	19	38	8	-33,761	-72,477	34,3	3,4
2003	3	15	21	47	5	-33,143	-70,270	2,8	3,4
2003	3	16	4	25	10,3	-33,609	-70,592	27,3	3
2003	3	16	22	29	18,8	-33,140	-70,289	5,5	3,4
2003	3	17	3	7	11,7	-28,618	-69,879	124,9	3,4
2003	3	18	11	50	12,5	-31,732	-69,527	151,2	3,3
2003	3	18	12	43	34,2	-32,706	-71,770	35,8	3,5
2003	3	18	13	37	12,7	-31,845	-69,632	142,4	3,4
2003	3	19	0	24	57,9	-33,003	-70,049	105,7	2,5
2003	3	19	17	52	0,8	-33,142	-70,273	1,4	3,6
2003	3	19	21	47	32,8	-31,733	-70,222	6,5	3,4
2003	3	20	3	0	1,9	-32,255	-70,499	104,3	3,7
2003	3	20	10	31	17,7	-33,180	-72,870	26,5	3,4
2003	3	20	14	26	24,6	-33,636	-72,018	31,7	3,1
2003	3	20	18	20	56,8	-33,612	-70,589	22	2,8
2003	3	21	9	43	7,1	-28,401	-69,322	121,3	3,9
2003	3	21	19	34	18	-31,180	-69,225	138,2	3,2
2003	3	21	19	55	15,9	-33,551	-71,286	60	3,1
2003	3	22	2	53	52,7	-32,678	-71,481	28,8	3,3
2003	3	22	13	16	11,4	-32,969	-71,053	54,9	3
2003	3	22	19	1	42,1	-32,174	-71,614	57,8	3,6
2003	3	23	22	28	51,1	-28,775	-71,293	64,4	3,7
2003	3	24	2	7	18,1	-32,091	-69,744	144,2	3,1
2003	3	24	4	30	8,9	-32,910	-69,942	102,6	2,6
2003	3	24	9	33	6,5	-33,275	-70,949	67,9	2,1
2003	3	24	9	46	27,6	-32,683	-71,451	24,8	2,7
2003	3	24	17	41	8,3	-33,148	-70,270	3,9	3,1
2003	3	24	22	59	47,8	-33,144	-70,244	1,3	2,7
2003	3	25	10	23	56,4	-30,266	-71,260	53,3	2,3
2003	3	25	17	52	51,5	-33,141	-70,279	4,1	3,4
2003	3	26	7	21	48,5	-32,748	-71,889	12,9	3,1
2003	3	26	13	42	52,9	-31,777	-69,777	145,2	3,3
2003	3	26	21	25	39	-33,155	-70,289	4,9	3
2003	3	27	8	16	6,8	-32,434	-71,210	69	2,3
2003	3	27	16	37	49,4	-29,571	-70,665	82,7	2,6
2003	3	28	22	52	37,7	-33,156	-70,284	4,8	2,4
2003	3	28	22	53	34,2	-33,164	-70,273	2,6	3
2003	3	29	7	9	47,7	-31,878	-69,965	145	3,2
2003	3	31	17	55	8,6	-33,144	-70,267	2,7	3,5
2003	4	1	3	35	19,6	-33,117	-70,900	68,1	2,3
2003	4	1	12	27	5,9	-31,916	-70,775	77,2	3,5
2003	4	1	15	47	53,4	-32,909	-73,039	13,7	3,7
2003	4	1	20	49	55,6	-32,952	-71,337	49,8	2,9
2003	4	2	8	15	1,3	-28,703	-71,343	36,1	4,2
2003	4	3	8	33	20	-32,769	-71,769	32,5	3,6
2003	4	3	18	38	39,3	-33,128	-70,263	5,6	3,5
2003	4	5	10	27	35	-33,456	-70,202	110,4	3,1
2003	4	5	17	48	3,7	-32,685	-73,114	22,5	3,2
2003	4	6	2	52	10,5	-32,682	-71,765	15	3,5
2003	4	6	7	14	12,3	-32,704	-71,709	15	3,3
2003	4	6	17	59	21,9	-33,145	-70,260	1,2	2,9
2003	4	7	6	47	32,3	-29,633	-72,616	32,9	3,4
2003	4	7	23	24	25,8	-32,939	-71,458	54	2,8
2003	4	8	1	50	57,6	-31,030	-71,288	63,9	2,5
2003	4	8	11	2	27,7	-32,640	-71,728	12,2	3
2003	4	8	19	17	45,3	-28,633	-70,247	69,7	3,7
2003	4	9	2	49	25,4	-32,337	-71,820	46,3	3,2
2003	4	9	20	9	55,8	-33,143	-70,250	3,5	3,2
2003	4	10	6	38	57	-29,807	-71,804	8,1	2,4
2003	4	11	1	30	25,4	-29,586	-72,287	11,2	4
2003	4	11	5	26	10,7	-32,056	-71,879	11,5	3,4
2003	4	12	4	11	8,2	-31,855	-70,590	103,8	3,2
2003	4	12	17	44	14,5	-33,138	-70,259	4,1	3,4
2003	4	14	16	27	44,5	-32,574	-71,094	15	3
2003	4	16	16	0	45,3	-29,051	-70,216	112,6	3,6
2003	4	17	3	30	13,1	-32,384	-71,111	67,2	3,2
2003	4	17	19	17	38,8	-33,721	-70,271	123,6	2,8
2003	4	18	6	9	32	-32,460	-71,286	47,1	3,7
2003	4	18	7	42	17,8	-32,105	-69,349	150	3,1
2003	4	19	1	20	57,5	-29,752	-71,200	57,7	3,3
2003	4	19	5	57	5,7	-30,747	-71,633	18,2	4,1
2003	4	19	21	5	33,7	-32,293	-70,079	119,2	3,5
2003	4	19	23	0	44,9	-32,679	-71,691	25,5	3,6
2003	4	20	7	22	13,7	-32,687	-71,618	28,1	3,5
2003	4	20	22	28	5	-32,645	-71,089	2,2	3,3
2003	4	21	2	34	56,4	-32,114	-71,343	37	3,2
2003	4	21	18	21	12,7	-30,270	-71,243	50,2	3,3
2003	4	22	9	17	50,3	-30,432	-71,564	31,5	2,8
2003	4	23	6	58	9	-31,574	-69,881	125	4
2003	4	24	11	52	11,1	-32,384	-69,877	132,8	3,7
2003	4	24	20	42	54,7	-31,843	-71,911	6,5	3,6
2003	4	24	22	53	36,2	-33,008	-72,477	31,3	3,8
2003	4	25	4	26	18,3	-32,576	-71,695	27,8	2,9
2003	4	25	23	15	48,7	-28,675	-71,400	40,2	3,9
2003	4	25	23	19	40,1	-33,571	-69,756	125,4	2,5
2003	4	26	7	52	29,5	-29,135	-71,286	46	4,4
2003	4	26	8	9	47,2	-30,730	-71,666	29,1	3,9
2003	4	26	18	3	45,1	-33,147	-70,278	6,4	3,6
2003	4	27	1	28	48,7	-33,785	-72,264	0	2,9
2003	4	28	3	19	3,7	-30,667	-71,603	32,4	2,9
2003	4	28	7	22	19,2	-32,259	-70,452	123,3	2,3
2003	4	28	11	3	30,2	-32,423	-71,593	48,5	4,2
2003	4	28	13	25	29,7	-33,767	-72,064	13,6	3,9
2003	4	28	14	53	49,8	-33,769	-72,044	7,9	3,9
2003	4	30	17	56	8,9	-33,128	-70,274	4,3	3,3
2003	5	2	6	5	37,1	-32,908	-71,596	21	3,7
2003	5	3	8	0	16,9	-31,744	-70,020	130	3,7
2003	5	3	22	14	36,5	-30,350	-69,955	149	3,4
2003	5	5	16	30	42,8	-33,471	-72,248	6	3,7
2003	5	5	17	43	26,8	-33,136	-70,277	4,7	3,6
2003	5	6	4	2	37,1	-29,397	-71,325	50,2	2,9
2003	5	6	5	28	26,4	-31,131	-69,709	156,8	3
2003	5	6	16	49	40,6	-33,904	-72,168	6,2	3,1
2003	5	6	21	5	32,1	-32,966	-71,261	59	2,1
2003	5	7	1	14	35,3	-31,544	-71,393	75,7	2,9
2003	5	7	17	12	45,5	-33,855	-70,115	1,3	3
2003	5	8	7	4	40,2	-32,575	-71,007	47	3,2
2003	5	8	8	27	44,3	-31,259	-71,686	15,2	3,6
2003	5	8	15	29	42,1	-32,330	-71,368	46,2	3,2
2003	5	10	7	48	7,7	-31,708	-69,265	153,1	3,3
2003	5	10	18	36	31,8	-31,642	-69,839	134,4	2,9
2003	5	11	0	49	10,6	-30,486	-72,081	39,7	2,3
2003	5	11	11	54	29	-30,904	-71,382	48,3	3,5
2003	5	12	7	13	13,9	-30,739	-71,378	46,7	2,9
2003	5	12	11	28	1,5	-31,468	-71,668	21,3	3,1
2003	5	12	13	45	13,6	-33,883	-70,830	79,4	2,6
2003	5	12	18	28	13,6	-31,560	-69,781	145	3,2
2003	5	12	18	38	8,1	-32,598	-70,684	65	2,6
2003	5	13	5	51	1,8	-31,009	-71,278	65,3	2,6
2003	5	13	11	35	40,5	-30,732	-70,266	133,1	3
2003	5	13	17	43	3,7	-33,137	-70,242	2	3,3
2003	5	13	20	27	57,5	-32,126	-69,742	131,3	3,1
2003	5	14	1	45	0,6	-32,258	-71,046	65,2	3,2
2003	5	14	4	41	22,3	-30,719	-71,578	23,6	2,8
2003	5	14	8	58	38,5	-29,719	-71,310	48,6	3,8
2003	5	14	18	25	2	-29,323	-71,580	51,4	4,3
2003	5	15	14	46	35,3	-32,641	-71,580	30,6	3,7
2003	5	16	2	50	1,7	-32,704	-71,664	31,3	2,9
2003	5	16	18	21	58	-33,155	-70,258	4,7	3,5
2003	5	16	22	56	29,2	-32,472	-71,085	53	3,7
2003	5	17	6	58	12,9	-31,728	-71,706	29,2	3,5
2003	5	17	22	11	58,2	-31,902	-71,171	79,7	2,7
2003	5	18	15	44	40,7	-32,103	-71,407	29,8	3,5
2003	5	20	16	17	11,1	-33,525	-70,229	104,5	2,4
2003	5	20	22	30	44,5	-33,180	-70,307	4,9	3,4
2003	5	21	0	37	23	-32,471	-71,398	56,7	3,6
2003	5	21	21	38	13	-32,476	-71,382	38,5	3,4
